eps0,frozen_raw_chi2,frozen_profiled_chi2,frozen_best_offset_mag,published_raw_chi2,published_profiled_chi2,published_best_offset_mag,frozen_profiled_delta_chi2,published_profiled_delta_chi2
-0.052500000000,2601.043606030807,1763.437962086222,-0.105471084919,5174.468993359838,1755.252600524426,-0.213096790784,-0.754492201772,-8.939853763568
-0.050000000000,2601.441834922761,1763.472990436005,-0.105493949500,5009.130156416051,1755.576270347015,-0.207870383772,-0.719463851989,-8.616183940980
-0.047500000000,2601.839043677759,1763.508117288259,-0.105516738727,4848.304595818397,1755.911020270297,-0.202656714264,-0.684336999735,-8.281434017697
-0.045000000000,2602.235236092493,1763.543341233624,-0.105539452977,4691.960296095374,1756.256699864275,-0.197455719612,-0.649113054370,-7.935754423719
-0.042500000000,2602.630415945975,1763.578660877596,-0.105562092624,4540.065526330543,1756.613160687222,-0.192267337630,-0.613793410398,-7.579293600772
-0.040000000000,2603.024586999846,1763.614074840413,-0.105584658038,4392.588836999067,1756.980256256510,-0.187091506594,-0.578379447581,-7.212198031484
-0.037500000000,2603.417752998336,1763.649581756854,-0.105607149590,4249.499056842860,1757.357842019760,-0.181928165235,-0.542872531141,-6.834612268234
-0.035000000000,2603.809917668415,1763.685180276097,-0.105629567646,4110.765289790803,1757.745775326683,-0.176777252737,-0.507274011898,-6.446678961311
-0.032500000000,2604.201084719814,1763.720869061538,-0.105651912568,3976.356911917885,1758.143915401110,-0.171638708730,-0.471585226457,-6.048538886884
-0.030000000000,2604.591257845174,1763.756646790653,-0.105674184720,3846.243568446947,1758.552123313774,-0.166512473287,-0.435807497342,-5.640330974220
-0.027500000000,2604.980440720089,1763.792512154842,-0.105696384459,3720.395170790205,1758.970261955368,-0.161398486920,-0.399942133152,-5.222192332627
-0.025000000000,2605.368637003248,1763.828463859256,-0.105718512143,3598.781893628693,1759.398196010047,-0.156296690573,-0.363990428738,-4.794258277947
-0.022500000000,2605.755850336422,1763.864500622651,-0.105740568127,3481.374172032433,1759.835791929479,-0.151207025622,-0.327953665344,-4.356662358515
-0.020000000000,2606.142084344659,1763.900621177254,-0.105762552761,3368.142698617684,1760.282917907180,-0.146129433868,-0.291833110740,-3.909536380814
-0.017500000000,2606.527342636205,1763.936824268578,-0.105784466397,3259.058420741497,1760.739443853339,-0.141063857533,-0.255630019416,-3.453010434655
-0.015000000000,2606.911628802834,1763.973108655317,-0.105806309381,3154.092537735070,1761.205241370140,-0.136010239257,-0.219345632678,-2.987212917855
-0.012500000000,2607.294946419689,1764.009473109181,-0.105828082058,3053.216498171336,1761.680183727287,-0.130968522093,-0.182981178814,-2.512270560707
-0.010000000000,2607.677299045513,1764.045916414729,-0.105849784772,2956.401997169709,1762.164145838095,-0.125938649502,-0.146537873266,-2.028308449899
-0.007500000000,2608.058690222638,1764.082437369276,-0.105871417863,2863.620973735829,1762.657004235900,-0.120920565354,-0.110016918718,-1.535450052095
-0.005000000000,2608.439123477184,1764.119034782717,-0.105892981669,2774.845608136478,1763.158637050857,-0.115914213917,-0.073419505277,-1.033817237137
-0.002500000000,2608.818602319005,1764.155707477405,-0.105914476528,2690.048319307225,1763.668923987125,-0.110919539858,-0.036746810589,-0.523530300869
0.000000000000,2609.197130241862,1764.192454287994,-0.105935902771,2609.201762296250,1764.187746300408,-0.105936488237,0.000000000000,-0.004707987586
0.002500000000,2609.574710723524,1764.229274061331,-0.105957260733,2532.278825739570,1764.714986775877,-0.100965004507,0.036819773337,0.522532487882
0.005000000000,2609.951347225679,1764.266165656299,-0.105978550742,2459.252629368699,1765.250529706382,-0.096005034504,0.073711368305,1.058075418388
0.007500000000,2610.327043194252,1764.303127943711,-0.105999773125,2390.096521552278,1765.794260871149,-0.091056524449,0.110673655717,1.601806583155
0.010000000000,2610.701802059285,1764.340159806152,-0.106020928209,2324.784076867474,1766.346067514630,-0.086119420940,0.147705518158,2.153613226636
0.012500000000,2611.075627235202,1764.377260137865,-0.106042016316,2263.289093704174,1766.905838325888,-0.081193670952,0.184805849871,2.713384037893
0.015000000000,2611.448522120661,1764.414427844623,-0.106063037769,2205.585591898336,1767.473463418126,-0.076279221833,0.221973556629,3.281009130132
0.017500000000,2611.820490098860,1764.451661843599,-0.106083992885,2151.647810397392,1768.048834308709,-0.071376021297,0.259207555605,3.856380020715
0.020000000000,2612.191534537490,1764.488961063264,-0.106104881982,2101.450204953697,1768.631843899362,-0.066484017425,0.296506775270,4.439389611368
0.022500000000,2612.561658788792,1764.526324443218,-0.106125705376,2054.967445848837,1769.222386456760,-0.061603158659,0.333870155224,5.029932168766
0.025000000000,2612.930866189732,1764.563750934112,-0.106146463379,2012.174415645883,1769.820357593441,-0.056733393798,0.371296646118,5.627903305446
0.027500000000,2613.299160062038,1764.601239497521,-0.106167156302,1973.046206970756,1770.425654248931,-0.051874671999,0.408785209526,6.233199960937
0.030000000000,2613.666543712189,1764.638789105797,-0.106187784455,1937.558120321227,1771.038174671276,-0.047026942768,0.446334817802,6.845720383282
0.032500000000,2614.033020431655,1764.676398741987,-0.106208348144,1905.685661903656,1771.657818398746,-0.042190155959,0.483944453993,7.465364110752
0.035000000000,2614.398593496836,1764.714067399701,-0.106228847675,1877.404541497408,1772.284486241969,-0.037364261775,0.521613111706,8.092031953975
0.037500000000,2614.763266169252,1764.751794083012,-0.106249283351,1852.690670345539,1772.918080266195,-0.032549210756,0.559339795017,8.725625978200
0.040000000000,2615.127041695423,1764.789577806308,-0.106269655473,1831.520159072117,1773.558503773922,-0.027744953784,0.597123518314,9.366049485928
0.042500000000,2615.489923307259,1764.827417594229,-0.106289964341,1813.869315625807,1774.205661287823,-0.022951442077,0.634963306235,10.013206999829
0.045000000000,2615.851914221789,1764.865312481512,-0.106310210252,1799.714643248788,1774.859458533833,-0.018168627182,0.672858193518,10.667004245839
0.047500000000,2616.213017641551,1764.903261512927,-0.106330393502,1789.032838471283,1775.519802424603,-0.013396460981,0.710807224933,11.327348136609
0.050000000000,2616.573236754389,1764.941263743124,-0.106350514384,1781.800789130625,1776.186601043102,-0.008634895678,0.748809455130,11.994146755108
