eps0,chi2_frozen,chi2_published,delta_chi2_frozen,delta_chi2_published,published_minus_frozen
0.042500000000,2615.489923307259,1813.869315625807,6.292793065397,-795.327814616055,-801.620607681453
0.045000000000,2615.851914221789,1799.714643248788,6.654783979927,-809.482486993074,-816.137270973001
0.047500000000,2616.213017641551,1789.032838471283,7.015887399689,-820.164291770579,-827.180179170269
0.050000000000,2616.573236754389,1781.800789130625,7.376106512527,-827.396341111237,-834.772447623764
0.052500000000,2616.932574733724,1777.995572415394,7.735444491862,-831.201557826468,-838.937002318331
0.055000000000,2617.291034738543,1777.594452933170,8.093904496681,-831.602677308691,-839.696581805373
0.057500000000,2617.648619913498,1780.574880802624,8.451489671636,-828.622249439238,-837.073739110874
0.060000000000,2618.005333388980,1786.914489768791,8.808203147118,-822.282640473071,-831.090843620189
0.062500000000,2618.361178281125,1796.591095341672,9.164048039263,-812.606034900190,-821.770082939453
0.065000000000,2618.716157692014,1809.582692957516,9.519027450152,-799.614437284346,-809.133464734499
0.067500000000,2619.070274709641,1825.867456162755,9.873144467779,-783.329674079107,-793.202818546886
0.070000000000,2619.423532408050,1845.423734819981,10.226402166188,-763.773395421881,-773.999797588069
0.072500000000,2619.775933847287,1868.230053335849,10.578803605425,-740.967076906013,-751.545880511437
0.075000000000,2620.127482073610,1894.265108910388,10.930351831748,-714.932021331474,-725.862373163222
0.077500000000,2620.478180119590,1923.507769807717,11.281049877728,-685.689360434145,-696.970410311873
0.080000000000,2620.828031003980,1955.937073647648,11.630900762118,-653.260056594214,-664.890957356332
0.082500000000,2621.177037731953,1991.532225717767,11.979907490091,-617.664904524094,-629.644812014186
0.085000000000,2621.525203295147,2030.272597305935,12.328073053285,-578.924532935927,-591.252605989212
0.087500000000,2621.872530671662,2072.137724053045,12.675400429800,-537.059406188817,-549.734806618617
0.090000000000,2622.219022826204,2117.107304325028,13.021892584342,-492.089825916834,-505.111718501176
0.092500000000,2622.564682710148,2165.161197605075,13.367552468286,-444.035932636787,-457.403485105073
0.095000000000,2622.909513261574,2216.279422904152,13.712383019712,-392.917707337710,-406.630090357422
0.097500000000,2623.253517405307,2270.442157191490,14.056387163445,-338.754973050372,-352.811360213817
0.100000000000,2623.596698053085,2327.629733842822,14.399567811223,-281.567396399040,-295.966964210263
